,Point Name,Latitude,Longitude,Date,Time(IST),Remarks
0,Point 1,22.451141,70.02943,18-03-2024,00:00,Waypoint
1,Point 2,23.036265,72.603527,18-03-2024,00:00,Waypoint
2,Point 3,22.780233,75.612305,18-03-2024,00:00,Waypoint
3,Point 4,25.361897,78.561791,18-03-2024,00:00,Waypoint
4,Point 5,27.964325,78.042138,18-03-2024,00:00,Waypoint
